date,name,nation,score
2023-01-05,Jeffrey Bell,Georgia,26
2023-01-25,Jennifer Farrell,Papua New Guinea,21
2023-02-05,Erin Hall,Albania,94
2023-02-09,Jessica Torres,Northern Mariana Islands,65
2023-02-03,Wesley Mcdaniel,Netherlands,69
2023-02-01,Candace Blankenship,Hungary,60
2023-01-17,Theresa Young,Luxembourg,21
2023-03-22,Cassidy Dixon,Bahamas,55
2023-01-19,Traci Villarreal,Chile,3
2023-01-08,Ryan Delgado,Bahrain,87
2023-01-11,Andrew David,Panama,70
2023-02-12,James Baker,American Samoa,58
2023-03-22,Christopher Strickland,India,99
2023-02-25,Nicole Nichols,Saint Kitts and Nevis,53
2023-01-24,Andrea Murphy,Andorra,66
2023-01-22,Terry Walker,Suriname,62
2023-02-06,Nathan Davis,Iceland,28
2023-01-05,Vanessa George,Taiwan,2
2023-01-10,Michael Thompson,Andorra,54
2023-02-12,Lonnie Williams,Iceland,59
2023-03-04,Alexis Wilson,Guadeloupe,38
2023-01-25,Alan Mason,China,32
2023-02-08,Cynthia Estrada,Malaysia,90
2023-02-20,Alexis Davis,Colombia,71
2023-01-05,Jennifer Ward,United States Virgin Islands,48
2023-01-02,Vanessa Miller,United States Virgin Islands,19
2023-01-25,Stephen Young,Senegal,67
2023-03-17,Mr. Justin Stewart,Moldova,51
2023-01-12,Nathan Hopkins,Azerbaijan,80
2023-02-24,Thomas Brock,United Arab Emirates,12
2023-01-28,Mrs. Sheri Gregory,Benin,22
2023-02-14,Elizabeth Moran,Reunion,76
2023-02-06,Justin Reed,Cocos (Keeling) Islands,41
2023-01-28,Kenneth Miller,Turkey,68
2023-01-06,Kimberly Avila,Uzbekistan,94
2023-03-15,Sandra Wyatt,Mexico,84
2023-02-05,Dennis Tate,Namibia,90
2023-01-14,Mark Henderson,Russian Federation,35
2023-01-08,Bradley Wells,India,10
2023-01-31,Stephanie Moore,Togo,44
2023-03-08,Bryce Johnson,Mauritania,7
2023-03-18,Mr. Eric Soto,Philippines,56
2023-01-05,Jacqueline Morrison,Croatia,83
2023-01-15,April Weaver,Togo,3
2023-03-13,Steven Rodriguez DVM,New Caledonia,63
2023-01-15,Justin Smith,Angola,54
2023-03-17,Jennifer Wilson,Andorra,89
2023-03-15,Justin Walker,Hong Kong,99
2023-02-21,Philip Greene,Cayman Islands,57
2023-01-22,Kristen Crawford,Micronesia,88
2023-02-27,Julie Murphy,Chile,48
2023-01-03,Kimberly Dillon,Tunisia,26
2023-01-24,Claire Buckley,Lao People's Democratic Republic,76
2023-01-25,Adam Cameron,Cote d'Ivoire,41
2023-01-22,Barbara Hanson,Georgia,79
2023-03-22,George Barnes,Zambia,51
2023-02-02,Mr. Steven Goodman,Haiti,40
2023-03-05,Roberta Malone,Sri Lanka,48
2023-01-03,Natalie Steele,Saudi Arabia,86
2023-01-28,Joseph Castillo,Latvia,98
2023-03-07,Mary Moore,Austria,53
2023-01-05,Rose Cortez,Papua New Guinea,68
2023-03-04,Jacqueline Rogers,Qatar,50
2023-01-08,Kyle Townsend,Kuwait,40
2023-02-21,Rebecca Armstrong,Tajikistan,8
2023-03-15,Joshua Rosales,Peru,27
2023-03-18,Lisa Smith,Faroe Islands,34
2023-02-20,Amanda Beasley,Kiribati,66
2023-02-07,Timothy Smith,Colombia,79
2023-02-22,Austin Mills,Singapore,55
2023-03-13,Courtney Williams,Venezuela,28
2023-03-16,Kristopher Hernandez,New Caledonia,83
2023-01-30,Robert Holland,Eritrea,68
2023-03-19,Kaitlyn Hartman,Morocco,8
2023-01-22,Andrea Gonzales,Italy,8
2023-02-14,Jeremy Williams,French Guiana,17
2023-01-03,James Everett,Mongolia,53
2023-01-21,Kristopher Santiago,Vanuatu,50
2023-03-18,Carol Watson,Grenada,81
2023-02-27,Anita Bruce,British Indian Ocean Territory (Chagos Archipelago),57
2023-02-24,David Jones DVM,Portugal,82
2023-02-01,Jenna Jacobs,Gibraltar,96
2023-01-21,Emily Bond,Bahamas,52
2023-02-16,Robert Roach,India,11
2023-01-13,Dale Gonzalez,Puerto Rico,47
2023-03-06,Thomas Ramirez,Samoa,57
2023-01-17,Lisa Meyer,Togo,40
2023-02-28,Derek Mills,Canada,47
2023-03-20,James Andrews,Gabon,3
2023-03-16,Dana Carpenter,Nigeria,87
2023-01-29,Gina Mcgrath,Guinea-Bissau,49
2023-01-14,Eugene Bell,Oman,3
2023-02-02,Alice Harris,Vanuatu,44
2023-02-18,Scott Rodriguez,Wallis and Futuna,74
2023-03-22,Valerie Barker,Norfolk Island,88
2023-03-05,Matthew Simon,Burkina Faso,66
2023-03-08,Michael Ward,American Samoa,29
2023-02-09,Julian Floyd MD,Slovakia (Slovak Republic),70
2023-01-09,Barbara Frazier,Tanzania,97
2023-03-11,Amanda Smith,Belgium,91
